species,nt,ntp1,oviposition_days,chaff_presence,temp,rh,exp_name,output_eggs
A,22,303,7.08333,0,31,70,castaneum_chaos,NA
A,56,246,7.08333,0,31,70,castaneum_chaos,NA
A,78,267,7.08333,0,31,70,castaneum_chaos,NA
A,17,277,7.08333,0,31,70,castaneum_chaos,NA
A,18,303,7.08333,0,31,70,castaneum_chaos,NA
A,19,284,7.08333,0,31,70,castaneum_chaos,NA
A,14,330,7.08333,0,31,70,castaneum_chaos,NA
A,72,253,7.08333,0,31,70,castaneum_chaos,NA
A,10,274,7.08333,0,31,70,castaneum_chaos,NA
A,58,276,7.08333,0,31,70,castaneum_chaos,NA
A,4,103,7.08333,0,31,70,castaneum_chaos,NA
A,44,286,7.08333,0,31,70,castaneum_chaos,NA
A,62,253,7.08333,0,31,70,castaneum_chaos,NA
A,86,245,7.08333,0,31,70,castaneum_chaos,NA
A,48,268,7.08333,0,31,70,castaneum_chaos,NA
A,17,263,7.08333,0,31,70,castaneum_chaos,NA
A,40,316,7.08333,0,31,70,castaneum_chaos,NA
A,58,277,7.08333,0,31,70,castaneum_chaos,NA
A,70,258,7.08333,0,31,70,castaneum_chaos,NA
A,12,312,7.08333,0,31,70,castaneum_chaos,NA
A,17,293,7.08333,0,31,70,castaneum_chaos,NA
A,15,314,7.08333,0,31,70,castaneum_chaos,NA
A,80,243,7.08333,0,31,70,castaneum_chaos,NA
A,16,254,7.08333,0,31,70,castaneum_chaos,NA
A,12,282,7.08333,0,31,70,castaneum_chaos,NA
A,7,213,7.08333,0,31,70,castaneum_chaos,NA
A,68,291,7.08333,0,31,70,castaneum_chaos,NA
A,68,200,7.08333,0,31,70,castaneum_chaos,NA
A,30,188,7.08333,0,31,70,castaneum_chaos,NA
A,24,291,7.08333,0,31,70,castaneum_chaos,NA
A,17,320,7.08333,0,31,70,castaneum_chaos,NA
A,46,269,7.08333,0,31,70,castaneum_chaos,NA
A,14,312,7.08333,0,31,70,castaneum_chaos,NA
A,8,264,7.08333,0,31,70,castaneum_chaos,NA
A,58,237,7.08333,0,31,70,castaneum_chaos,NA
A,52,278,7.08333,0,31,70,castaneum_chaos,NA
A,40,271,7.08333,0,31,70,castaneum_chaos,NA
A,14,293,7.08333,0,31,70,castaneum_chaos,NA
A,78,272,7.08333,0,31,70,castaneum_chaos,NA
A,10,312,7.08333,0,31,70,castaneum_chaos,NA
A,58,304,7.08333,0,31,70,castaneum_chaos,NA
A,30,321,7.08333,0,31,70,castaneum_chaos,NA
